P,P_smooth,Q,region_name,fuel
4.528763769889841,6.1111293,.0018611259292811,Canada,coal
5.079559363525092,6.1121163,.0019362899256521,Mexico,coal
5.079559363525092,6.1160336,.0022347378074522,USA,coal
5.079559363525092,6.119947,.0025331856892523,USA,coal
5.079559363525092,6.1238575,.0028316335710524,USA,coal
5.079559363525092,6.1277647,.0031300814528525,USA,coal
5.079559363525092,6.1316686,.0034285293346526,USA,coal
5.079559363525092,6.1355691,.0037269772164527,USA,coal
5.079559363525092,6.1394668,.0040254250982528,USA,coal
5.079559363525092,6.1433606,.0043238729800529,USA,coal
5.079559363525092,6.1472516,.004622320861853,USA,coal
5.079559363525092,6.1511393,.0049207687436531,USA,coal
5.079559363525092,6.1550241,.0052192166254532,USA,coal
5.079559363525092,6.158905,.0055176645072533,USA,coal
5.079559363525092,6.1627831,.0058161123890534,USA,coal
5.079559363525092,6.1666579,.0061145602708535,USA,coal
5.079559363525092,6.1705294,.0064130081526536,USA,coal
5.079559363525092,6.1743979,.0067114560344536,USA,coal
5.079559363525092,6.1782632,.0070099039162537,USA,coal
5.079559363525092,6.1821251,.0073083517980538,USA,coal
5.079559363525092,6.1859837,.0076067996798539,USA,coal
5.079559363525092,6.1898394,.007905247561654,USA,coal
5.079559363525092,6.1936917,.0082036954434541,USA,coal
5.079559363525092,6.1975412,.0085021433252542,USA,coal
5.079559363525092,6.2013869,.0088005912070543,USA,coal
5.079559363525092,6.2052298,.0090990390888544,USA,coal
5.079559363525092,6.2090697,.0093974869706545,USA,coal
5.079559363525092,6.2129064,.0096959348524546,USA,coal
5.079559363525092,6.2167397,.0099943827342547,USA,coal
5.079559363525092,6.2205696,.0102928306160548,USA,coal
5.079559363525092,6.2243967,.0105912784978549,USA,coal
5.079559363525092,6.2282209,.010889726379655,USA,coal
5.079559363525092,6.2320414,.0111881742614551,USA,coal
5.079559363525092,6.2358594,.0114866221432552,USA,coal
5.079559363525092,6.2396736,.0117850700250553,USA,coal
5.079559363525092,6.243485,.0120835179068554,USA,coal
5.079559363525092,6.2472935,.0123819657886555,USA,coal
5.079559363525092,6.2510982,.0126804136704556,USA,coal
5.079559363525092,6.2549005,.0129788615522557,USA,coal
5.079559363525092,6.2586994,.0132773094340558,USA,coal
5.079559363525092,6.262495,.0135757573158559,USA,coal
5.079559363525092,6.2662878,.013874205197656,USA,coal
5.079559363525092,6.2700772,.0141726530794561,USA,coal
5.079559363525092,6.2738638,.0144711009612562,USA,coal
5.079559363525092,6.277647,.0147695488430563,USA,coal
5.079559363525092,6.2814274,.0150679967248564,USA,coal
5.079559363525092,6.2852044,.0153664446066565,USA,coal
5.079559363525092,6.2889786,.0156648924884566,USA,coal
5.079559363525092,6.2927494,.0159633403702567,USA,coal
5.079559363525092,6.2965174,.0162617882520568,USA,coal
5.079559363525092,6.3002825,.0165602361338569,USA,coal
5.079559363525092,6.3040442,.016858684015657,USA,coal
5.079559363525092,6.3078027,.0171571318974571,USA,coal
5.079559363525092,6.3115587,.0174555797792572,USA,coal
5.079559363525092,6.315311,.0177540276610573,USA,coal
5.079559363525092,6.3190608,.0180524755428574,USA,coal
5.079559363525092,6.3228073,.0183509234246574,USA,coal
5.079559363525092,6.3265505,.0186493713064575,USA,coal
5.079559363525092,6.3302913,.0189478191882576,USA,coal
5.079559363525092,6.3340287,.0192462670700577,USA,coal
5.079559363525092,6.3377628,.0195447149518578,USA,coal
5.079559363525092,6.3414941,.0198431628336579,USA,coal
5.079559363525092,6.3452225,.020141610715458,USA,coal
5.079559363525092,6.348948,.0204400585972581,USA,coal
5.079559363525092,6.3526702,.0207385064790582,USA,coal
5.079559363525092,6.3563895,.0210369543608583,USA,coal
5.079559363525092,6.3601055,.0213354022426584,USA,coal
5.079559363525092,6.3638191,.0216338501244585,USA,coal
5.079559363525092,6.3675294,.0219322980062586,USA,coal
5.079559363525092,6.3712363,.0222307458880587,USA,coal
5.079559363525092,6.3749409,.0225291937698588,USA,coal
5.079559363525092,6.3786421,.0228276416516589,USA,coal
5.079559363525092,6.3823404,.023126089533459,USA,coal
5.079559363525092,6.3860354,.0234245374152591,USA,coal
5.079559363525092,6.3897281,.0237229852970592,USA,coal
5.079559363525092,6.3934174,.0240214331788593,USA,coal
5.195838433292534,6.3970561,.024316043361614,Africa,coal
5.312117503059974,6.4006925,.0246106535443687,Africa,coal
5.428396572827416,6.4043255,.0249052637271234,Africa,coal
5.544675642594858,6.4079561,.0251998739098781,Africa,coal
5.6609547123623,6.4115834,.0254944840926328,Africa,coal
5.777233782129742,6.4152079,.0257890942753875,Africa,coal
5.893512851897184,6.4188299,.0260837044581422,Africa,coal
6.009791921664626,6.4224486,.0263783146408969,Africa,coal
6.126070991432068,6.4260645,.0266729248236516,Africa,coal
6.24235006119951,6.429678,.0269675350064063,Africa,coal
6.254589963280294,6.4333105,.0272639752799296,Other Developing Asia,coal
6.266829865361077,6.4369402,.0275604155534529,Other Developing Asia,coal
6.279069767441861,6.440567,.0278568558269762,Other Developing Asia,coal
6.291309669522644,6.444191,.0281532961004996,Other Developing Asia,coal
6.303549571603428,6.4478126,.0284497363740229,Other Developing Asia,coal
6.315789473684211,6.4514308,.0287461766475462,Other Developing Asia,coal
6.328029375764994,6.4550462,.0290426169210696,Other Developing Asia,coal
6.340269277845778,6.4586587,.0293390571945929,Other Developing Asia,coal
6.352509179926561,6.4622684,.0296354974681162,Other Developing Asia,coal
6.364749082007345,6.4658751,.0299319377416396,Other Developing Asia,coal
6.376988984088127,6.4694791,.0302283780151629,Other Developing Asia,coal
