"","x"
"1",4.14508201581673
"2",14.9857855033173
"3",7.86949336424368
"4",48.4728914986262
"5",27.9017358921244
"6",22.7230333790759
"7",30.7710494648692
"8",10.5895552881132
"9",61.1204400126141
"10",36.5439275656033
"11",15.3919008572739
"12",57.0012876990164
"13",46.2449488518645
"14",20.8598883244022
"15",30.3705991089914
"16",25.7414727559953
"17",11.7083884526805
"18",52.3628819595252
"19",4.83670363864275
"20",36.8481669700564
"21",22.0350980772547
"22",38.7649114554286
"23",8.35504376473369
"24",12.4259476473915
"25",68.8053892568599
"26",58.9244683262368
"27",5.73061260236677
"28",10.8916567207855
"29",67.5901883747439
"30",248.985607352293
"31",19.8557527438499
"32",42.1380836311018
"33",35.3013169312255
"34",63.3921399459154
"35",8.18552154920746
"36",171.797466717846
"37",33.8783367398406
"38",38.7824759144322
"39",9.36737987360802
"40",20.6337455578161
"41",6.07245065746875
"42",15.4185697455673
