"","x"
"1",1580.65858568395
"2",596.754148188388
"3",687.224224108913
"4",660.394652969798
"5",1039.28750757034
"6",6802.78198790883
"7",654.617992030534
"8",2144.7186947409
"9",1152.476247545
"10",1524.1384939038
"11",5093.21075700805
"12",1005.96491876915
"13",7923.12658424804
"14",917.418839953571
"15",7106.39121992773
"16",5783.99813765193
"17",17000.4725589162
"18",2652.20190614753
"19",8122.5021836654
"20",2524.75534385854
"21",5687.45739079115
"22",1780.18284901114
"23",2628.28884574269
"24",2097.25016321283
"25",5225.15335638175
"26",284.067162974865
"27",526.590062244097
"28",5123.51010540902
"29",11960.2553565221
"30",2276.08366010285
"31",9933.22035346291
"32",3919.96281579175
"33",8583.819125912
"34",2419.86047041342
"35",807.164370780488
"36",8444.75380186214
"37",8351.35874609094
"38",6419.6954539337
"39",1853.25207684355
"40",12954.2336754162
"41",3140.00242676342
"42",1375.1933277361
"43",28315.2771093096
"44",2085.81978254144
"45",6353.53713205833
"46",5684.30459260293
"47",11704.2050470678
"48",15509.9125612038
"49",3527.81396820201
"50",14937.1247954642
"51",2655.72463197913
"52",5055.65674230583
"53",2959.03956251682
"54",655.736070834949
"55",2564.8536719682
"56",4635.64636677413
"57",3101.66552188675
"58",1651.30934375296
"59",3869.64250362619
"60",3114.71237660597
"61",6108.72797130863
"62",2914.84304897515
"63",5366.54671739463
"64",3530.24564587376
"65",1640.60399318795
"66",2154.3533573754
"67",2622.5563027419
"68",654.404556396705
"69",8792.19415741089
"70",2836.36023074152
"71",2431.72199119539
"72",15268.3288296942
"73",1144.63234451227
"74",2057.50902423579
"75",2628.85172788418
"76",1712.00936458048
