"","x"
"1",202.144220915677
"2",1291.84163599505
"3",2776.50110409327
"4",3318.50103660296
"5",4058.5790871951
"6",354.586635571902
"7",6664.00930544633
"8",2398.52077794233
"9",252.832784961656
"10",1040.05739659136
"11",1468.60639390227
"12",218.250809396108
"13",831.339645081876
"14",737.79125089254
"15",1364.0002839537
"16",4398.05253553183
"17",668.295037606796
"18",4516.95597991922
"19",1686.19518406964
"20",2143.46940771627
"21",6883.27055836145
"22",3310.69222538103
"23",483.491395119588
"24",3026.23114082186
"25",3197.30801837993
"26",729.591941300106
"27",2080.46842342111
"28",2752.48513892393
"29",776.642276653929
"30",3610.52887770846
"31",3044.66454032541
"32",651.313333065335
"33",334.822984395409
"34",1905.66901769455
"35",209.742216802216
"36",6324.90442273234
"37",409.659543838782
"38",2712.50962279008
"39",1148.55029485052
"40",1893.69773499563
"41",5050.6394015444
"42",718.578107101903
"43",421.020560335774
"44",2549.18292148026
"45",5631.21024283668
"46",769.948435077121
"47",6017.45620938394
"48",6876.49045812475
"49",375.604391881009
"50",11668.8202510249
"51",478.00993677039
"52",8562.48645893969
"53",561.95812584148
"54",5945.68524868987
"55",1369.45914981921
"56",563.801866701154
"57",1272.55490071898
"58",10086.2202528634
"59",7177.73852958934
"60",1898.25226638658
"61",3326.17484464222
"62",3971.0171032777
"63",4211.22406812958
"64",552.457953919204
"65",456.174099449187
"66",914.133197732252
"67",2215.56045903146
"68",4078.86710129466
"69",661.551606731707
"70",599.83635146609
"71",639.874731972515
"72",4240.42668382035
"73",13598.2175060453
"74",3622.98203142029
"75",6390.83666296646
"76",5510.25546992513
"77",10193.5705453231
"78",5923.8639951208
"79",1790.67542734435
"80",10170.4620132084
"81",4865.01905040439
"82",12745.4042323988
"83",1303.89121721386
"84",9064.96370969281
"85",4393.40445158579
"86",697.559345314457
"87",12218.1757890876
"88",1119.46432746175
"89",516.230728049729
"90",2084.99394441198
"91",424.738787849729
"92",4654.89767045372
"93",16890.4304769109
"94",3328.75034282518
"95",1819.0459713151
"96",308.47902537568
"97",9890.37387978884
"98",218.60562949569
"99",2384.80754537372
"100",344.88805593041
"101",2761.52785085793
"102",3218.1363220529
"103",12054.0565879455
"104",1125.64728288438
"105",5298.71173382539
"106",10620.7697390242
"107",251.966961145277
"108",1896.43054942765
"109",690.598650621057
"110",544.175386312499
"111",10195.8212813008
"112",414.431668912922
"113",682.472960508853
"114",2015.88477335506
"115",5847.57899749608
"116",4355.51984444269
"117",4125.5694563072
"118",3838.00735973131
"119",4004.26225637364
"120",2573.56823383826
"121",578.303957144769
"122",396.545566630725
"123",424.36426341139
"124",777.107727022414
"125",754.264126344118
"126",6177.35037950978
"127",6254.57649930773
"128",698.676889331902
"129",1672.00519387717
"130",3303.19708827895
"131",4653.9041189006
"132",788.858554851588
"133",872.76358290911
"134",3248.87138950476
"135",13630.3088980079
"136",1222.73701708188
"137",2931.03288237174
"138",1331.19705534537
"139",2614.24977945728
"140",635.503115120329
"141",472.822827501657
"142",1037.312420073
"143",305.801003489246
"144",687.416934631495
"145",602.032298733227
"146",6430.56056062363
"147",5950.79738125479
"148",2830.88622368788
"149",2116.96585625513
"150",858.702852491401
"151",4075.25988786187
"152",5992.82077785647
"153",3251.45941997142
"154",1076.37144344665
"155",2045.35172688822
"156",802.841043997632
"157",310.21248996417
"158",2043.81126343526
"159",6776.73542028526
"160",351.118566215924
"161",3784.07967642492
"162",6432.91442546882
"163",3193.22803414236
"164",1032.79820989713
"165",593.933920813168
"166",2165.25394093712
"167",1672.98681648248
"168",2857.88538243467
"169",962.53338263546
"170",4033.55120180958
"171",1937.51463761887
"172",2329.36583109868
"173",3564.91192277225
"174",1909.09439596986
"175",3796.9656439492
"176",733.609820791615
"177",2168.48201520809
"178",8160.98860153881
"179",1291.01745154678
"180",3743.62389728089
"181",4547.33366543324
"182",2899.97920464685
"183",3916.01536850531
"184",618.413025170803
"185",253.031962107905
"186",852.619338115339
"187",10151.4600549055
"188",203.317940401011
"189",3443.76719487086
"190",930.175012389606
"191",1928.67893022565
"192",11708.3332010453
"193",3693.97154013069
"194",1385.81947296231
"195",819.104327715934
"196",1593.92687378021
"197",284.934856096722
"198",269.996888997448
"199",1099.59173099414
"200",1692.62933284272
"201",3704.76272223068
"202",1849.72645192922
"203",13381.4531584298
"204",3788.56613702549
"205",4790.94571265852
"206",1630.36094195621
"207",3007.41090275741
"208",419.50100347663
