"","x"
"1",14300.4841815751
"2",5877.21301066861
"3",6969.71765273985
"4",482.176578227216
"5",1865.97399119951
"6",2917.70171456531
"7",1368.90904744296
"8",7219.31695494184
"9",503.839107047288
"10",614.017812211284
"11",1910.70421833732
"12",943.803968433817
"13",828.097108499196
"14",1484.85881323109
"15",2110.69415425599
"16",1717.95601187158
"17",4287.97348961712
"18",1065.08987816391
"19",15297.3359461602
"20",1006.43769859167
"21",2671.79808603477
"22",3111.31834055059
"23",6665.2113456376
"24",4826.99366583572
"25",746.61816218225
"26",709.1877883892
"27",4975.81160897699
"28",7712.86438469701
"29",936.524328919924
"30",464.0638198591
"31",1512.21314961059
"32",519.950836811496
"33",688.675902230847
"34",2123.94730255565
"35",5337.13913239917
"36",268.95380650737
"37",1394.31247123387
"38",1284.99244849052
"39",3943.46115398151
"40",3243.08138385499
"41",13049.4600778257
"42",3048.68197876244
