reg_id,consumption_share1,consumption_share2,consumption_share3,consumption_share4,consumption_share5,consumption_share6,consumption_share7,consumption_share8,consumption_share9,consumption_share10
AU303,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU304,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU305,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU306,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU307,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU308,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU309,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU310,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU311,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU312,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU313,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU314,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU315,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU316,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU317,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU318,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU319,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU401,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU402,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
AU403,.018528854,.19484927,.008152362,.17256676,.062296569,.065850221,.06845548,.06845548,.17042252,.17042252
