"","x"
"1",47166.3764062334
"2",5108.39060160043
"3",1663.90808571966
"4",5021.58342641233
"5",102556.055818857
"6",877.231614889359
"7",31022.8712666532
"8",1082.39520052921
"9",3628.22914159648
"10",21339.6684225522
"11",20140.1098069765
"12",7912.59111068334
"13",1606.70075871394
"14",9020.72825613798
"15",285.743526284861
"16",14174.6455246429
"17",9197.96084822173
"18",674.131736467006
"19",3312.47026546856
"20",23516.9504327995
"21",6764.95575783635
"22",3328.43281803644
"23",31365.6339520737
"24",11171.74974067
"25",39960.89614307
"26",9292.9520862846
"27",3762.41420052627
"28",2541.36878225888
"29",13990.5353177505
"30",219357.841962086
"31",4738.45993738531
"32",259859.457637666
"33",9488.2483398055
"34",1650.35997546089
"35",1157.01351698608
"36",13553.8632722637
"37",8975.84371260813
"38",3421.6678172411
"39",2572.07447919247
"40",29598.689782977
"41",2159.37454258927
"42",46678.2655488258
"43",11542.9136583276
"44",1087.67182639812
"45",1505.67219771028
"46",6474.99384216564
"47",20669.8120186578
"48",6975.52381673884
"49",894.285848230781
"50",27670.3416093281
"51",1770.7076245465
"52",4648.96598496345
"53",6964.70515631057
"54",1133.58393086353
"55",5174.13805541197
"56",2582.65171345371
"57",20114.4363581988
"58",26262.5102756038
"59",19246.8972522752
