"","x"
"1",43.0714406822719
"2",2.67751821258118
"3",12.9525799768146
"4",22.1237146600593
"5",24.2431589383446
"6",30.9029840494687
"7",20.4665230587514
"8",5.13498451558468
"9",24.0345886298284
"10",2.4434728610311
"11",2.36986584459415
"12",80.9145811284444
"13",3.20194018299342
"14",1.81744408503379
"15",17.7178997680021
"16",40.3048898387787
"17",29.8234905391553
"18",1.77796313247414
"19",18.7070748270904
"20",5.30523405357127
"21",26.7071712537149
"22",2.46466223699523
"23",23.9849761562763
"24",6.44370919447406
"25",6.02212424853569
"26",18.1292972348326
"27",19.1979941693114
"28",42.6446489792826
"29",23.225484103443
"30",15.314127102275
"31",10.505434880988
"32",9.90568192265682
"33",5.72367859823483
"34",2.9617118764601
"35",31.5577592802711
"36",46.0776464602952
"37",22.7096214883874
"38",8.97471311552051
"39",26.2387659398268
"40",87.2921497056
"41",3.81756552333452
"42",52.6543984487595
"43",18.9056634249513
"44",13.1560471718626
"45",6.05035708516837
"46",59.1862708981424
"47",3.87785807460538
"48",18.7061553327614
"49",22.0266888026929
"50",34.6270653046559
"51",15.7552925732659
"52",10.1720882936087
"53",6.6962744256581
"54",43.3503848172603
"55",5.7720599655882
"56",46.4003680281778
"57",85.240418030488
"58",10.7593232183515
"59",12.5976440077632
"60",34.3169028616454
"61",38.0154796161489
"62",37.7602322863314
"63",37.524514545487
"64",42.699111903645
"65",22.5197968300636
"66",44.2373925045338
"67",3.62709536573528
"68",0.906120362223698
"69",7.41358468811013
"70",4.88071228191555
"71",53.6747282798132
"72",41.807166750549
"73",2.27862372422516
"74",5.48595859483164
"75",12.090456410278
"76",11.7492591250254
"77",13.5423935019077
"78",7.84145283865446
"79",8.20866049759355
"80",56.8419994010415
"81",57.3595010848708
"82",28.899056022748
"83",12.7518025620224
"84",32.7171650377772
"85",38.0340296540426
"86",32.788542990241
"87",8.89410361785849
"88",150.151615725053
"89",59.7274370779691
"90",36.9149520093621
"91",75.4504901289739
"92",27.936449062971
"93",16.2532650839248
"94",4.38979323307916
"95",25.5118375933274
"96",37.4054144508756
"97",11.7480722492957
"98",94.9066070871266
"99",38.0206904027714
"100",8.14405283269156
"101",14.0566146074887
"102",139.594003081159
"103",47.2969057866446
"104",46.322047293976
"105",7.6353941176114
"106",10.8780531700558
"107",8.4931504005114
"108",2.53644837019555
"109",25.1854130207514
"110",4.90884155394319
"111",16.4239657949398
"112",12.3059206958503
"113",22.483313488873
"114",51.9642815665009
"115",21.2491302811993
"116",13.8966887817797
"117",13.6667708794105
"118",28.3767729539559
"119",36.38004152898
"120",25.2532567042107
"121",54.1918803995193
"122",2.67778792515555
"123",13.0204028102685
"124",16.8754952673272
"125",14.0274248871512
"126",13.4604939677784
"127",17.3778225970161
"128",6.04173959337865
"129",1.92680724425357
"130",6.39249921936322
"131",3.2057845753838
"132",13.0932880301149
"133",21.4604251149207
"134",73.5165066391245
"135",16.5777125760099
"136",16.45312553746
"137",2.66691791406402
"138",41.095941106996
"139",29.968717950376
"140",18.2491357190232
"141",16.0852043578478
"142",60.1586485863473
"143",18.7527401893999
"144",29.5796093371008
"145",27.598858527867
"146",18.3710265646871
"147",15.6093567109756
"148",11.8245564658106
"149",19.5905250808595
"150",2.29975387281922
"151",51.4194107722775
"152",4.68616919932873
"153",8.77709431353098
"154",30.544550095558
"155",9.63104741655559
"156",13.9304075950071
"157",109.712370677612
"158",13.9595386330811
"159",22.9230208516005
"160",20.3837004500475
"161",9.32350316436777
"162",7.98309622078651
"163",26.9929722217417
"164",28.0163050124088
"165",11.0759803121481
"166",34.4265579535188
"167",46.3341856665616
"168",6.13203468240879
"169",4.82576222988163
"170",50.2249899700056
"171",36.6461499016861
"172",5.17322374221729
"173",20.642782683296
"174",6.74628411877107
"175",8.88139076667058
"176",52.6948813407098
"177",13.8680289473032
"178",2.12353002254355
"179",32.6121924028886
"180",46.2463537438007
"181",49.1387547805312
"182",20.2975305691355
"183",28.3419284226565
"184",9.95278322377292
"185",2.72248726346113
"186",4.40429557503597
"187",25.9627042229479
"188",20.1732875178681
"189",70.8189484475359
"190",4.12167991260406
"191",7.86614454592643
"192",39.4181818250487
"193",11.1858603690835
"194",6.39702559782734
"195",13.762546171072
"196",13.1768878869404
"197",34.3677788422416
"198",39.9287386796039
"199",41.6624675531606
"200",8.26960697012345
"201",18.4338304732674
"202",5.86110063220781
"203",5.90904206691665
"204",4.83374484529904
"205",56.452819982513
"206",21.4375580304662
"207",12.1577017194724
"208",25.8106964677568
"209",36.6365344611665
"210",43.5855009208875
"211",20.9773638788075
"212",5.10782500686628
"213",82.1352850487779
"214",44.1903954019477
"215",106.010279639482
"216",30.4034793701785
"217",8.30224091682022
"218",30.2143872603
"219",7.27097346740467
"220",48.8725961047647
"221",34.8483534924179
"222",29.2962718288276
"223",40.0031308040101
"224",11.7981611146859
"225",31.9249037816726
"226",15.088838299885
"227",67.1776169880058
"228",95.656416135677
"229",14.8348582108461
"230",44.647606489368
"231",4.24707098331182
"232",63.8284249674799
"233",34.2156506522731
"234",23.3228404334918
"235",18.1303894099007
"236",13.3395633333582
"237",27.4626916062646
"238",59.092282562755
"239",17.3515844304732
"240",7.33411676162453
"241",5.03188915922513
"242",24.1756962027172
"243",9.8899305259948
"244",17.4594973663291
"245",114.675873859846
"246",2.68091153657021
"247",11.0533756153968
"248",17.626811106467
"249",8.80079703503309
"250",20.2989585343941
"251",5.35255773520258
"252",92.2443651726095
"253",54.6060342905877
"254",27.7284442566904
"255",2.36156023720564
"256",8.95008171814564
"257",2.49481261856468
"258",36.5964629391684
"259",37.7425347140753
"260",33.5807616642603
"261",8.10301007572973
"262",15.4832077419437
"263",4.25446131599745
"264",49.4999988151195
"265",28.2305871318059
"266",23.7958041745521
"267",6.86424047575991
"268",20.0655303061841
"269",84.356408155726
"270",87.2030561516
"271",32.5722497041023
"272",3.4940055810395
"273",11.9911461140551
"274",13.7147605606046
"275",12.8071331670595
"276",6.12148113124137
"277",21.1024523574645
"278",90.3154078597705
"279",11.3503560292223
"280",33.4259990526144
"281",4.66964386815553
"282",3.28905685270994
"283",27.3615922970066
"284",25.5661299974835
"285",51.547792442388
"286",27.0456724863091
"287",22.7033233670332
"288",2.03397064245599
"289",72.7659846250117
