"","x"
"1",823.895292278265
"2",1794.70525859168
"3",807.208102655683
"4",1292.73709197495
"5",10517.6574802367
"6",6883.26060892088
"7",24426.1244679533
"8",3163.5542964044
"9",2712.66024812126
"10",2726.83535702989
"11",30310.2089667472
"12",22956.7733018723
"13",1350.31415099349
"14",35295.0975916053
"15",11738.3699612486
"16",1054.2603309193
"17",1228.67829028589
"18",1561.70832703523
"19",1227.79930763611
"20",1389.78114153339
"21",7029.97089905466
"22",1209.10164537126
"23",10875.9830940057
"24",3009.16897593116
"25",2383.39095034459
"26",12064.79261119
"27",908.93683330308
"28",3239.06225482552
"29",3073.3945330142
"30",3158.23558771573
"31",3384.94012161063
"32",7207.1175934345
"33",372.509029634149
"34",8522.01904671758
"35",1030.74230500803
"36",2560.04226462591
"37",6146.62543158002
"38",3538.99589160286
"39",1106.20249694624
"40",4552.10936336812
"41",269.398217990553
"42",265.811740155689
"43",729.520386115792
"44",1909.14616419702
"45",6470.69907407046
"46",8204.35439737588
"47",527.745279587875
"48",1700.40377007532
"49",1484.3485236217
"50",3264.23663371267
"51",4000.42306327295
"52",5231.98185209255
"53",1094.82250760794
"54",1098.59656624494
"55",449.641788961421
"56",17310.7446235138
"57",216.976496424197
"58",2865.78245284699
"59",665.345814788587
"60",543.764151791666
"61",1691.37237649162
"62",1267.36938165266
"63",3816.31915870156
"64",1039.3648711961
"65",21609.6815288353
"66",6149.66131936961
"67",943.775773677739
"68",357.84246589402
"69",3815.83354257983
"70",3599.92382697532
"71",742.519701677794
"72",880.389982679032
"73",2516.0042505698
"74",5210.14314442997
"75",9048.23232096289
"76",3637.54620055785
"77",1286.98157204736
"78",11522.3450458342
"79",7368.74693174383
"80",1987.77966449234
"81",439.58670411169
"82",623.992594538551
"83",608.238411120031
"84",628.496370415117
"85",578.917599187724
"86",838.255556744574
"87",239.299172551674
"88",208.073327470213
"89",1697.82364009933
"90",1197.30314594095
"91",243.217788520858
"92",838.074356815155
"93",5297.7706761386
"94",1449.39942604196
"95",3587.20120367697
"96",479.047953291363
"97",7283.23770053251
"98",408.042207776626
"99",9008.66362423145
"100",1106.84618462358
"101",5054.84735138927
"102",512.121173808863
"103",844.349055787776
"104",255.311777105648
"105",1029.84741355503
"106",8068.45032519986
"107",2949.95116445193
"108",6228.20315418659
"109",2844.46628394577
"110",18399.4031158698
"111",546.852752286286
"112",1990.04376942591
"113",621.787679347996
"114",406.529939317584
"115",2469.93080686373
"116",643.746226935875
"117",842.41376162808
"118",1897.15282435849
"119",629.473736563402
"120",2067.28520342399
"121",333.469199164662
"122",3768.7252575114
"123",3582.19630109411
"124",896.870031108418
"125",1069.47283389723
"126",3627.0540751991
"127",7516.37768595112
"128",5260.2633899262
"129",3432.06431927103
"130",6245.07565097496
"131",4444.56315062005
"132",1548.43372951971
"133",1365.64647161585
"134",5427.62951551081
"135",1446.31461971636
"136",2679.4860617018
"137",2700.01312322874
"138",21591.4531303395
"139",674.559603122641
"140",978.473035157882
"141",1430.86125408643
"142",234.737076943684
"143",1582.06435581974
"144",529.455048377327
"145",292.421924112829
"146",1028.1400364277
"147",1701.69038977911
"148",1233.20961243197
"149",2207.51005118664
"150",8104.5635089261
"151",3406.52183752435
"152",2724.29597257771
"153",510.289153672909
"154",7339.11322172791
"155",12752.4706673318
"156",2263.56159875225
"157",886.701033682999
"158",6045.15128713721
"159",1813.85395948447
"160",7549.40687372537
"161",4847.67727002623
"162",425.980611554387
"163",3714.59013670352
"164",597.896246712958
"165",2057.77543218913
"166",3673.20005657331
"167",963.174557941884
"168",8981.17534742334
"169",9595.53977138749
"170",9150.74205393233
"171",1905.20833163857
"172",2411.68643559177
"173",4324.56520704664
"174",9830.25305622929
"175",4761.34693397968
"176",724.461759487154
"177",1539.82453600987
"178",667.031425326424
"179",18660.6444738807
"180",2950.9089734225
"181",885.67446512866
"182",3909.52915782028
"183",7277.11071339172
"184",1764.76577859651
"185",17492.2075464694
"186",1109.33796039775
"187",9597.68035622885
"188",4515.6359612006
"189",6087.39536170899
"190",7554.90163282663
"191",1472.517709536
"192",906.38791739442
"193",609.726588499395
"194",2395.2666339363
"195",2045.46528193663
"196",3272.94219577848
"197",805.838922705076
"198",691.248678105285
"199",632.694144463796
"200",1292.80454500889
"201",3163.03839793613
"202",13683.6769861769
"203",2247.81895575788
"204",7528.02321545071
"205",6043.75678465537
"206",822.657350401192
"207",1582.38595259627
"208",4334.81168900373
"209",482.160392979451
"210",959.783554294633
"211",730.643505418973
"212",217.723437308513
"213",931.631211371142
"214",5235.65896743129
"215",592.646966082923
"216",3016.79236547582
"217",2209.010722997
"218",850.111705730077
"219",7106.9501343516
"220",885.883317036312
"221",941.53653077345
"222",1271.96740553214
"223",2377.28726687755
"224",3645.76868314814
"225",1572.28604687444
"226",2533.15947312415
"227",206.964504465647
"228",803.105312615657
"229",1210.20809716663
"230",878.42831073253
"231",6025.8615661396
"232",1143.63761938881
"233",558.389925686485
"234",1815.53559218165
"235",1135.64954718957
"236",854.536541097845
"237",3390.88173086669
"238",694.820255116087
"239",2312.26018405001
"240",4682.55462493865
"241",4345.59389175805
"242",1028.97761064001
"243",2105.44748726626
"244",2892.92003890329
"245",7857.62752294038
"246",11456.6114966089
"247",227.086159896132
"248",3245.04463197968
"249",6849.46838249429
"250",9733.2954734366
"251",1132.9032398829
"252",721.147708648048
"253",785.64570628087
"254",6152.2505583666
"255",11663.3138797639
"256",3371.686663097
"257",17718.5675074681
"258",1113.81983580046
"259",633.269045894208
"260",4283.06116033053
"261",5677.86059022785
"262",465.249950601695
"263",6487.88842942651
"264",2501.14218926238
"265",9573.60361145167
"266",1411.62790541106
"267",2433.5615044611
"268",2090.5847451426
"269",772.379548007815
"270",7783.68920076397
"271",2908.94421542304
"272",454.134413993983
"273",1240.31574329194
"274",1350.00407056856
"275",3218.02802394447
"276",5001.85239700555
"277",4461.21468248927
"278",337.219739292718
"279",1841.40384508323
"280",2653.48673370035
"281",11899.5403536184
"282",8121.0542255485
"283",2979.41232709524
"284",539.275364266137
"285",918.58759294238
"286",13796.8125760342
"287",18107.9270534233
"288",3171.59060444031
"289",523.432741278778
"290",3207.42586537316
"291",2732.69601214857
"292",10874.3068324893
"293",1075.66131543184
"294",2550.43097375155
"295",658.102108439103
"296",6872.79023237828
"297",2113.60703670958
"298",673.40831674063
"299",1939.04358459189
"300",453.092694654803
"301",1606.07572457656
"302",4745.06386209091
"303",4261.3384381332
"304",818.138989947507
"305",6504.13062312296
"306",2900.58414943773
"307",593.533014849488
"308",218.258971445026
"309",258.725883293332
"310",895.51085407093
"311",1752.471909443
"312",1428.45436893952
"313",5815.93389271649
"314",2391.41215872477
"315",1238.60081409121
"316",1306.40606799499
"317",1530.49502353118
"318",835.055529262454
"319",2966.04762911654
"320",1134.55294031546
"321",697.81625037226
"322",5304.63083743012
"323",4062.50405014309
"324",2058.68130368609
"325",5557.89492502506
"326",3430.31011855164
"327",1112.32426647874
"328",2693.70384773609
"329",986.948726675437
"330",1350.81505913548
"331",360.98310693588
